ITEM,SIZE DIA. (MM),BALANCE
PIDILITE,36.85,355450
PIDILITE,45.90,42000
PIDILITE,57.90,252000
PIDILITE,73.95,156000
PIDILITE,93.95,114900
PIDILITE,119.10,24750
PIDILITE,127.50,22950
PIDILITE,129.50,34650
DS (NEW LOGO),81.50,284025
DS (OLD LOGO),81.50,64375
DS (NEW LOGO),98.20,8175
DS (NEW LOGO),120.00,3150
WRIGLEY,82.70,378000
ASHIRWAD,51.60,35100
ASHIRWAD,73.70,11600
ASHIRWAD,82.50,14900
AWL (FORTUNE),82.20,39675
AGRICOLES,32.40,46600
AAC,36.50,20300
AAC,52.05,9900
ASTRAL,71.20,20000
APEX,32.70,17500
BALAJI PRELAMS,24.40,295025
BONANZA (AVC PTD),42.00,958600
BONANZA,42.00,22500
BHARAT RUBBER,36.55,346500
BHARAT OIL,82.20,75300
BADAL,23.20,185000
BALAJI OIL,81.90,53100
BALAJI OIL,118.50,58750
CATCH  ,67.50,23500
COUNTRY BEAN,61.45,7500
DAMYAA,37.00,59400
DAMYAA,53.50,51900
DOSHI,37.00,265700
DOSHI,44.50,127800
DEVI,33.50,94500
EVEREST (BOARD),62.20,36850
GAGANGIRI,74.20,3575
GLUCOVITA,81.60,16100
GS AGRO,120.00,14300
HIMALAYAN,82.50,17000
HAJMOLA,32.00,47400
INDIAN PRODUCT,41.80,95900
INDIAN PRODUCT,51.80,24000
INDIAN PRODUCT,52.05,98700
INDIAN PRODUCT,62.20,43200
JYOTI CHEMICAL,47.00,41250
KOKUYO,73.70,7200
KSHEER FOIL,57.00,9500
KSHEER FOIL,75.00,2400
KUBER PHARMA,39.30,157850
KOHINOOR,82.20,5625
LDD BIOSCIENCE,81.90,108000
MAYAKA FOODS,62.20,12200
MMD,37.20,106150
MANGLAM,37.00,39950
MILAN BUSINESS,51.80,18350
MOTHERNUTRI FOODS,73.70,42950
MULTI PLAST ( ONLY EPE ),51.30,13500
MANGLAM  ,56.00,37800
MOD PLAST,36.40,53900
MOD PLAST,43.30,19350
MOD PLAST,51.60,10275
MANKIND,44.50,25950
MILMA (PET),82.50,51350
MILMA (PET),55.70,344175
MEGHDOOT,51.90,23350
MEGHDOOT,61.90,20050
N.G. FOODS,82.20,16000
OZIVA,51.30,108900
OZIVA,84.40,4900
OLIVE,24.10,160600
OM POLYMERS,82.20,56400
PREMIUM PACK,36.70,131250
PLAIN ,51.60,4500
PLAIN (GLASS WAD),82.20,11300
PLAIN (PET),82.20,48000
PATANJALI,37.20,142000
PLAIN (TP PET),62.20,12250
PRODUCT ARMOR,31.70,18800
PROTEKZ,62.50,38500
RAVI INDUSTRIES,27.20,219050
RAJ TECHNO,36.70,69675
RKG (AGMARK),37.50,24100
RKG (AGMARK),61.45,45300
RKG (AGMARK),73.20,19075
R.B. INDUSTRIES (BOARD),37.00,131100
RUPAREL (3-TAB),73.70,99000
RIGHT ANGLE (EPE) GREEN,19.30,100000
RIGHT ANGLE,23.20,137550
RIGHT ANGLE (HDPE),24.10,440250
RIGHT ANGLE (HDPE),25.40,9700
RIGHT ANGLE,26.80,89000
RIGHT ANGLE (PET),39.00,135750
REU EXP0RT,36.70,96300
SHAKTI API,82.80,33000
SANYA ,62.20,12250
S K HEALTHCARE,36.10,29300
SUNFRESH,51.80,38950
SLEEPY OWL ,54.00,2625
SLEEPY OWL (EPE),62.20,27825
SLEEPY OWL,65.10,14350
SLEEPY OWL (EPE),66.25,825
SLEEPY OWL ,66.25,7750
SEVA SADAN (AGMARK),36.10,2750
SEVA SADAN (AGMARK),51.30,85875
SEVA SADAN (AGMARK),62.20,15575
SRE RAM & CO.,36.70,1005275
SRE RAM & CO.,52.05,19250
SRE RAM & CO.,81.90,4000
SERVO,38.65,526500
SERVO,38.75,141750
SERVO (MIX GREEN),38.75,48595
SERVO (MIX RED),38.75,48865
SERVO (MIX ORANGE),38.75,147388
SUNDROP ,52.05,8000
SUNDROP ,56.00,22100
SHAKTI API,82.80,97900
SS FOOD (HDPE),82.20,36000
SAI-TECH,51.60,10475
SRI PLASTICO,39.00,176750
S.P TRADER (HAPPY),36.70,36600
STAR PLASTIC,20.75,273000
SYNTHITE,22.80,26730
TIRUPATI,82.70,2600
TITANIUM,59.90,11000
UNITED FOOD,73.70,101400
ULTRA BEAUTY,82.20,4500
VIRBAC,69.90,1950
WINWORLD,82.75,23400
